category_name,dimension,formwork_area,unit_area,category,sub_category,product_description,qty_nos,unit,no_of_set,height
Column,750x825,,0.296,panels_or_spacers,Outer Corner,80*3705,4,Nos,1,3705
Column,750x825,,2.223,panels_or_spacers,panel,600*3705,4,Nos,1,3705
Column,750x825,,0.834,panels_or_spacers,panel,225*3705,2,Nos,1,3705
Column,750x825,,1.297,panels_or_spacers,panel,350*3705,2,Nos,1,3705
Column,750x825,,0.926,panels_or_spacers,panel,250*3705,2,Nos,1,3705
Column,750x825,,0.556,panels_or_spacers,panel,150*3705,2,Nos,1,3705
Column,750x825,,0.741,panels_or_spacers,panel,200*3705,2,Nos,1,3705
Column,750x825,,0.463,panels_or_spacers,panel,125*3705,2,Nos,1,3705
Column,750x825,,0.099,panels_or_spacers,Outer Corner,80*1235,4,Nos,1,1235
Column,750x825,,0.741,panels_or_spacers,panel,600*1235,4,Nos,1,1235
Column,750x825,,0.278,panels_or_spacers,panel,225*1235,2,Nos,1,1235
Column,750x825,,0.432,panels_or_spacers,panel,350*1235,2,Nos,1,1235
Column,750x825,,0.309,panels_or_spacers,panel,250*1235,2,Nos,1,1235
Column,750x825,,0.185,panels_or_spacers,panel,150*1235,2,Nos,1,1235
Column,750x825,,0.247,panels_or_spacers,panel,200*1235,2,Nos,1,1235
Column,750x825,,0.154,panels_or_spacers,panel,125*1235,2,Nos,1,1235
Column,825x1200,,0.296,panels_or_spacers,Outer Corner,80*3705,4,Nos,1,3705
Column,825x1200,,2.223,panels_or_spacers,panel,600*3705,4,Nos,1,3705
Column,825x1200,,1.112,panels_or_spacers,panel,300*3705,4,Nos,1,3705
Column,825x1200,,0.834,panels_or_spacers,panel,225*3705,2,Nos,1,3705
Column,825x1200,,0.556,panels_or_spacers,panel,150*3705,2,Nos,1,3705
Column,825x1200,,0.099,panels_or_spacers,Outer Corner,80*1235,4,Nos,1,1235
Column,825x1200,,0.741,panels_or_spacers,panel,600*1235,4,Nos,1,1235
Column,825x1200,,0.371,panels_or_spacers,panel,300*1235,4,Nos,1,1235
Column,825x1200,,0.278,panels_or_spacers,panel,225*1235,2,Nos,1,1235
Column,825x1200,,0.185,panels_or_spacers,panel,150*1235,2,Nos,1,1235
Column,975x1200,,0.296,panels_or_spacers,Outer Corner,80*3705,4,Nos,7,3705
Column,975x1200,,2.223,panels_or_spacers,panel,600*3705,6,Nos,7,3705
Column,975x1200,,0.463,panels_or_spacers,panel,125*3705,2,Nos,7,3705
Column,975x1200,,0.926,panels_or_spacers,panel,250*3705,2,Nos,7,3705
Column,975x1200,,0.099,panels_or_spacers,Outer Corner,80*1235,4,Nos,7,1235
Column,975x1200,,0.741,panels_or_spacers,panel,600*1235,6,Nos,7,1235
Column,975x1200,,0.154,panels_or_spacers,panel,125*1235,2,Nos,7,1235
Column,975x1200,,0.309,panels_or_spacers,panel,250*1235,2,Nos,7,1235
Column,750x975,,0.296,panels_or_spacers,Outer Corner,80*3705,4,Nos,5,3705
Column,750x975,,2.223,panels_or_spacers,panel,600*3705,2,Nos,5,3705
Column,750x975,,0.463,panels_or_spacers,panel,125*3705,2,Nos,5,3705
Column,750x975,,0.926,panels_or_spacers,panel,250*3705,2,Nos,5,3705
Column,750x975,,1.297,panels_or_spacers,panel,350*3705,2,Nos,5,3705
Column,750x975,,1.482,panels_or_spacers,panel,400*3705,2,Nos,5,3705
Column,750x975,,0.834,panels_or_spacers,panel,225*3705,2,Nos,5,3705
Column,750x975,,0.099,panels_or_spacers,Outer Corner,80*1235,4,Nos,5,1235
Column,750x975,,0.741,panels_or_spacers,panel,600*1235,2,Nos,5,1235
Column,750x975,,0.154,panels_or_spacers,panel,125*1235,2,Nos,5,1235
