category_name,dimension,formwork_area,unit_area,category,sub_category,product_description,qty_nos,unit,no_of_set,height
VERTICAL PANEL,2000X2000X2000,,0.16,panels_or_spacers,PANEL,80*2000,4,Nos,1,2000
VERTICAL PANEL,2000X2000X2001,,1.2,panels_or_spacers,PANEL,600*2000,8,,1,2000
VERTICAL PANEL,2000X2000X2002,,1,panels_or_spacers,PANEL,500*2000,8,,1,2000
VERTICAL PANEL,2000X2000X2003,,0.6,panels_or_spacers,PANEL,300*2000,4,,1,2000
VERTICAL PANEL,2000X2000X2004,,0.84048,panels_or_spacers,M.S HAUNCH ,412*2040,4,,1,2000
VERTICAL PANEL,2000X2000X2005,,1.224,panels_or_spacers,PANEL,600*2040,8,,1,2000
VERTICAL PANEL,2000X2000X2006,,0.612,panels_or_spacers,PANEL,300*2040,4,,1,2000
BOTTOM PANEL,2000X2000X2007,,0.5,panels_or_spacers,PANEL,250*2000,4,,1,2000
BOTTOM PANEL,2000X2000X2008,,0.5,panels_or_spacers,PANEL,250*2000,4,,1,2000
BOTTOM PANEL,2000X2000X2009,,0.2,panels_or_spacers,PANEL,80*2500,4,,1,2000
BOTTOM PANEL,2000X2000X2010,,0.2128,panels_or_spacers,PANEL,80*2660,4,,1,2000
BOTTOM PANEL,2000X2000X2011,,0.12,panels_or_spacers,PANEL,80*1500,8,,1,2000
BOTTOM PANEL,2000X2000X2012,,0.4805,panels_or_spacers,PLATE,,8,,1,2000
ACCESSORIES ,,,31.2,panels_or_spacers,WALLER ,2.6,12,,1,2000
ACCESSORIES ,,,18,panels_or_spacers,WALLER ,1.5,12,,1,2000
ACCESSORIES ,,,36,panels_or_spacers,TIE ROD 16 MM,1,36,,1,2000
ACCESSORIES ,,,6,panels_or_spacers,TIE ROD 16 MM,0.5,12,,1,2000
ACCESSORIES ,,,0,panels_or_spacers,PVC CONE,,100,,1,2000
ACCESSORIES ,,,8,panels_or_spacers,BOTTOM PIPE,2,4,,1,2000
ACCESSORIES ,,,8.64,panels_or_spacers,BOTTOM PIPE,2.16,4,,1,2000
ACCESSORIES ,,,5.32,panels_or_spacers,TOP PIPE ,2.66,2,,1,2000
ACCESSORIES ,,,4.28,panels_or_spacers,TOP PIPE ,2.14,2,,1,2000
