Label,Type,Length_mm,Width_mm,Height_mm,Qty,Floor
SW1,Wall,1200,250,3200,420,
SW12,Wall,3500,250,3200,63,
SW14,Wall,2500,250,3200,42,
SW19,Wall,3587,250,3200,78,
SW26,Wall,2187,250,3200,27,
C1,Column,900,250,3200,54,
C3,Column,850,250,3200,43,
C9,Column,1225,442,3200,24,
C11,Column,1223,409,3200,82,
C32,Column,1255,604,3200,8,
C34,Column,882,552,3200,8,
SW101,Wall,3806,148,3200,1,
C52,Column,553,193,3200,95,
C60,Column,1106,513,3200,31,
C61,Column,553,513,3200,32,
C65,Column,1290,330,3200,19,
C66,Column,1350,390,3200,19,
SW151,Wall,1450,250,3200,8,
SW172,Wall,2281,330,3200,2,
SW173,Wall,2341,390,3200,2,
C112,Column,1225,450,3200,12,
SW240,Wall,2200,250,3200,18,
SW243,Wall,1800,549,3200,6,
C114,Column,1294,1223,3200,6,
SW244,Wall,3000,513,3200,6,
C119,Column,1200,1200,3200,5,
C120,Column,1050,1050,3200,7,
C121,Column,1500,1200,3200,5,
C122,Column,1350,1050,3200,5,
C123,Column,1200,1050,3200,2,
C125,Column,750,600,3200,2,
C126,Column,615,450,3200,1,
C128,Column,603,450,3200,1,
SW279,Wall,2805,148,3200,2,
C205,Column,481,481,3200,39,
C207,Column,608,608,3200,3,
SW312,Wall,1910,598,3200,6,
C211,Column,451,445,3200,6,
C212,Column,451,451,3200,6,
C213,Column,1019,299,3200,6,
SW454,Wall,4045,330,3200,1,
SW455,Wall,4105,390,3200,1,
SW485,Wall,1640,330,3200,1,
SW486,Wall,1700,390,3200,1,
C378,Column,680,680,3200,3,
C403,Column,1159,668,3200,1,
C404,Column,933,609,3200,1,
C405,Column,933,740,3200,5,
SW503,Wall,1833,330,3200,3,
SW504,Wall,1893,390,3200,3,
SW520,Wall,1368,324,3200,1,
C430,Column,1106,614,3200,1,
C431,Column,1056,564,3200,1,
C438,Column,252,252,3200,4,
