Label,Type,Length_mm,Width_mm,Height_mm,Qty
SW1,Wall,3200,150,3300,4
SW2,Wall,3200,200,3300,5
SW3,Wall,3200,100,3300,2
SW4,Wall,3200,300,3300,2
SW6,Wall,3200,350,3300,2
SW9,Wall,3100,600,3300,2
SW10,Wall,3100,400,3300,2
SW12,Wall,3100,250,3300,2
SW14,Wall,2400,350,3300,3
SW15,Wall,2400,200,3300,1
SW18,Wall,3200,400,3300,2
SW24,Wall,3100,100,3300,1
SW25,Wall,3100,200,3300,2
C1,Column,1350,600,3300,5
C2,Column,600,400,3300,1
SW27,Wall,3100,150,3300,1
SW28,Wall,3100,300,3300,3
C3,Column,800,400,3300,2
SW35,Wall,2400,150,3300,2
SW37,Wall,1235,100,3300,33
SW38,Wall,1200,100,3300,7
SW42,Wall,1600,400,3300,2
SW44,Wall,1350,100,3300,4
SW49,Wall,590,100,3300,1
SW51,Wall,780,100,3300,2
C5,Column,1235,390,3300,3
SW58,Wall,1480,100,3300,1
SW63,Wall,1460,100,3300,1
SW68,Wall,1450,100,3300,1
SW71,Wall,1300,100,3300,1
SW73,Wall,945,100,3300,2
SW74,Wall,600,100,3300,1
SW76,Wall,665,100,3300,1
SW79,Wall,1800,100,3300,1
SW81,Wall,560,100,3300,2
SW89,Wall,1130,100,3300,3
SW94,Wall,1530,100,3300,1
C6,Column,1500,500,3300,1
SW97,Wall,1100,100,3300,3
C7,Column,1400,600,3300,2
C8,Column,1235,600,3300,96
SW100,Wall,1235,200,3300,4
C63,Column,825,600,3300,1
C66,Column,1330,390,3300,1
C68,Column,1235,400,3300,5
SW102,Wall,1915,400,3300,1
C98,Column,1235,360,3300,2
C100,Column,1500,600,3300,1
SW107,Wall,1235,300,3300,2
SW108,Wall,1235,235,3300,2
SW111,Wall,1130,235,3300,1
C120,Column,1400,350,3300,1
SW113,Wall,3000,200,3300,3
SW116,Wall,3300,100,3300,7
SW118,Wall,870,200,3300,1
IC100,Wall,3300,150,3300,24
SW119,Wall,3300,200,3300,9
SW121,Wall,3300,300,3300,5
SW130,Wall,3300,400,3300,1
SW131,Wall,3300,700,3300,1
SW133,Wall,3300,250,3300,1
SW138,Wall,3300,550,3300,1
SW146,Wall,3300,600,3300,2
SW148,Wall,900,204,3300,1
SW149,Wall,2400,100,3300,1
