Label,Type,Length_mm,Width_mm,Height_mm,Qty
SW1,Shear Wall,2150,300,3200,9
SW4,Shear Wall,2000,150,3200,2
SW5,Shear Wall,1850,400,3200,2
SW6,Shear Wall,3250,400,3200,2
SW7,Shear Wall,3600,400,3200,2
SW8,Shear Wall,8225,400,3200,2
SW9,Shear Wall,7550,400,3200,9
SW13,Shear Wall,3000,400,3200,16
SW18,Shear Wall,3000,450,3200,8
SW22,Shear Wall,2900,400,3200,5
SW24,Shear Wall,2144,400,3200,9
SW27,Shear Wall,6750,400,3200,2
SW28,Shear Wall,7800,400,3200,2
SW29,Shear Wall,6950,400,3200,2
SW30,Shear Wall,4250,400,3200,13
SW34,Shear Wall,6900,400,3200,2
SW35,Shear Wall,9200,400,3200,2
SW36,Shear Wall,3400,400,3200,2
SW37,Shear Wall,4850,400,3200,2
SW38,Shear Wall,2950,400,3200,1
SW39,Shear Wall,2350,400,3200,1
SW40,Shear Wall,3050,400,3200,5
SW41,Shear Wall,2750,400,3200,5
SW43,Shear Wall,2000,400,3200,19
SW46,Shear Wall,2200,450,3200,8
SW49,Shear Wall,2300,400,3200,8
SW52,Shear Wall,1745,400,3200,2
SW53,Shear Wall,4100,400,3200,9
SW57,Shear Wall,2302,150,3200,3
SW60,Shear Wall,2450,150,3200,5
SW65,Shear Wall,2850,400,3200,16
SW66,Shear Wall,2850,450,3200,12
SW73,Shear Wall,2500,400,3200,1
SW76,Shear Wall,3100,400,3200,7
SW78,Shear Wall,2600,400,3200,8
SW80,Shear Wall,2600,450,3200,5
C1,Column,1500,400,3200,8
SW101,Shear Wall,3350,400,3200,1
SW146,Shear Wall,3600,450,3200,2
